"line","word"
91,"discord"
91,"harm"
91,"secretary"
91,"clinton's"
91,"campaign"
91,"content"
91,"estimated"
91,"157"
91,"million"
91,"americans"
93,"month"
93,"march"
93,"17th"
93,"news"
93,"broke"
93,"cambridge"
93,"analytica"
93,"exploited"
93,"personal"
93,"information"
93,"approximately"
93,"50"
93,"million"
93,"facebook"
93,"users"
93,"knowledge"
93,"permission"
93,"week"
93,"learned"
93,"87"
93,"million"
93,"facebook"
93,"users"
93,"private"
93,"information"
93,"consent"
95,"specifically"
95,"personality"
95,"quiz"
95,"created"
95,"professor"
95,"kogan"
95,"collected"
95,"personal"
95,"information"
95,"300,000"
95,"facebook"
95,"users"
95,"collected"
95,"data"
95,"millions"
95,"friends"
97,"appears"
97,"information"
97,"collected"
97,"included"
97,"individuals"
97,"facebook"
97,"pages"
97,"reports"
97,"included"
97,"private"
97,"direct"
97,"messages"
97,"users"
99,"professor"
99,"kogan"
99,"data"
99,"70"
99,"million"
99,"americans"
99,"reported"
99,"sold"
99,"data"
99,"cambridge"
99,"analytica"
99,"800,000"
99,"dollars"
99,"cambridge"
99,"analytica"
99,"data"
99,"created"
99,"psychological"
99,"warfare"
99,"tool"
99,"influence"
99,"united"
99,"elections"
101,"ceo"
101,"alexander"
101,"nix"
101,"declared"
101,"cambridge"
101,"analytica"
101,"ran"
101,"digital"
101,"campaign"
101,"television"
101,"campaign"
101,"data"
101,"informed"
101,"strategy"
101,"trump"
101,"campaign"
103,"reporting"
103,"speculated"
103,"cambridge"
103,"analytica"
103,"internet"
103,"research"
103,"agency"
103,"russia"
103,"identify"
103,"american"
103,"voters"
103,"target"
103,"propaganda"
105,"concerned"
105,"press"
105,"reports"
105,"facebook"
105,"learned"
105,"breach"
105,"2015"
105,"appears"
105,"significant"
105,"steps"
105,"address"
107,"hearing"
107,"conversation"
107,"yesterday"
107,"facebook"
107,"presence"
107,"words"
107,"strongly"
107,"industry"
107,"regulate"
107,"reform"
107,"platforms"
107,"control"
109,"feinstein"
109,"extraordinarily"
109,"lead"
109,"company"
109,"27,000"
109,"employees"
109,"forward"
109,"comments"
111,"chairman"
113,"grassley"
113,"senator"
113,"feinstein"
115,"history"
115,"growth"
115,"facebook"
115,"mirrors"
115,"technological"
115,"giants"
115,"founded"
115,"zuckerberg"
115,"2004"
115,"facebook"
115,"exploded"
115,"past"
115,"14"
115,"facebook"
115,"2"
115,"billion"
115,"monthly"
115,"active"
115,"users"
115,"world"
115,"25,000"
115,"employees"
115,"offices"
115,"13"
115,"u.s"
115,"cities"
115,"countries"
117,"expanding"
117,"user"
117,"base"
117,"data"
117,"collected"
117,"facebook"
117,"users"
117,"skyrocketed"
117,"moved"
117,"schools"
117,"likes"
117,"relationship"
117,"statuses"
117,"facebook"
117,"access"
117,"data"
117,"ranging"
117,"ads"
117,"clicked"
117,"events"
117,"attended"
117,"location"
117,"based"
117,"mobile"
117,"device"
119,"secret"
119,"facebook"
119,"makes"
119,"money"
119,"data"
119,"advertising"
119,"revenue"
119,"confused"
119,"altogether"
119,"unaware"
119,"facebook"
119,"generates"
119,"generated"
119,"40"
119,"billion"
119,"revenue"
119,"2017"
119,"98"
119,"percent"
119,"coming"
119,"advertising"
119,"facebook"
119,"instagram"
121,"significant"
121,"data"
121,"collection"
121,"occurring"
121,"google"
121,"twitter"
121,"apple"
121,"amazon"
121,"expanding"
121,"portfolio"
121,"products"
121,"services"
121,"offered"
121,"companies"
121,"grant"
121,"endless"
121,"opportunities"
121,"collect"
121,"increasing"
121,"amounts"
121,"information"
121,"customers"
123,"free"
123,"extremely"
123,"low"
123,"cost"
123,"services"
123,"trade"
123,"american"
123,"consumer"
123,"provide"
123,"personal"
123,"data"
123,"potential"
123,"growth"
123,"innovation"
123,"based"
123,"collection"
123,"data"
123,"unlimitedless"
123,"potential"
123,"abuse"
123,"significant"
125,"contours"
125,"cambridge"
125,"analytica"
125,"situation"
125,"coming"
125,"light"
125,"breach"
125,"consumer"
125,"trust"
125,"improper"
125,"transfer"
125,"data"
125,"judiciary"
125,"committee"
125,"hold"
125,"separate"
125,"hearing"
125,"exploring"
125,"cambridge"
125,"data"
125,"privacy"
125,"issues"
127,"importantly"
127,"events"
127,"ignited"
127,"larger"
127,"discussion"
127,"consumers"
127,"expectations"
127,"future"
127,"data"
127,"privacy"
127,"society"
127,"exposed"
127,"consumers"
127,"understand"
127,"extent"
127,"data"
127,"collected"
127,"protected"
127,"transferred"
127,"misused"
129,"data"
129,"advertising"
129,"political"
129,"campaigns"
129,"decades"
129,"amount"
129,"type"
129,"data"
129,"obtained"
129,"dramatic"
129,"change"
129,"campaigns"
129,"including"
129,"presidents"
129,"bush"
129,"obama"
129,"trump"
129,"increasing"
129,"amounts"
129,"data"
129,"focus"
129,"microtargeting"
129,"personalization"
129,"numerous"
129,"social"
129,"media"
129,"platforms"
129,"facebook"
131,"presidents"
131,"obama's"
131,"campaign"
131,"developed"
131,"app"
131,"utilizing"
131,"facebook"
131,"feature"
131,"cambridge"
131,"analytica"
131,"capture"
131,"information"
131,"app's"
131,"users"
131,"millions"
131,"friends"
133,"grassley"
133,"digital"
133,"director"
133,"campaign"
133,"2012"
133,"data"
133,"scraping"
133,"app"
133,"quote"
133,"wind"
133,"groundbreaking"
133,"piece"
133,"technology"
133,"developed"
133,"campaign"
133,"quote"
135,"effectiveness"
135,"social"
135,"media"
135,"tactics"
135,"debated"
135,"past"
135,"political"
135,"spectrum"
135,"increased"
135,"significance"
135,"policy"
135,"data"
135,"privacy"
135,"security"
135,"pace"
137,"data"
137,"privacy"
137,"tethered"
137,"consumer"
137,"expectations"
137,"minimum"
137,"consumers"
137,"transparency"
137,"informed"
137,"decision"
137,"share"
137,"data"
139,"consumers"
139,"clearer"
139,"information"
139,"opaque"
139,"policies"
139,"complex"
139,"click"
139,"consent"
139,"pages"
139,"tech"
139,"industry"
139,"obligation"
139,"respond"
139,"widespread"
139,"growing"
139,"concerns"
139,"data"
139,"privacy"
139,"security"
139,"restore"
139,"public's"
139,"trust"
141,"status"
141,"quo"
141,"congress"
141,"determine"
141,"strengthen"
141,"privacy"
141,"standards"
141,"ensure"
141,"transparency"
141,"understanding"
141,"billions"
141,"consumers"
141,"utilize"
141,"products"
143,"senator"
143,"nelson"
145,"bill"
145,"nelson"
145,"fla"
145,"chairman"
145,"zuckerberg"
145,"afternoon"
147,"cut"
147,"chase"
147,"social"
147,"media"
147,"companies"
147,"act"
147,"privacy"
147,"anymore"
147,"facing"
149,"talking"
149,"personally"
149,"identifiable"
149,"information"
149,"social"
149,"media"
149,"media"
149,"companies"
149,"theft"
149,"america"
149,"personal"
149,"privacy"
149,"anymore"
149,"advent"
149,"technology"
151,"moment"
151,"wake"
151,"morning"
151,"bed"
151,"handheld"
151,"tablets"
151,"online"
151,"companies"
151,"facebook"
151,"tracking"
151,"activities"
151,"collecting"
151,"information"
153,"facebook"
153,"responsibility"
153,"protect"
153,"personal"
153,"information"
153,"discussion"
153,"yesterday"
153,"told"
153,"company"
153,"failed"
155,"time"
155,"facebook"
155,"mishandled"
155,"users"
155,"information"
155,"ftc"
155,"found"
155,"facebook's"
155,"privacy"
155,"policies"
155,"deceived"
155,"users"
155,"past"
155,"recognize"
155,"cambridge"
155,"analytica"
155,"app"
155,"developer"
155,"lied"
155,"consumers"
155,"lied"
155,"lied"
155,"facebook"
157,"facebook"
157,"watch"
157,"operations"
157,"facebook"
157,"notify"
157,"87"
157,"million"
157,"users"
157,"personally"
157,"identifiable"
157,"information"
157,"informed"
157,"unauthorized"
157,"political"
157,"purposes"
159,"nelson"
159,"conversation"
159,"facebook"
159,"pledged"
159,"inform"
159,"consumers"
159,"accounts"
159,"compromised"
161,"genuine"
161,"sense"
161,"conversing"
161,"enact"
161,"reforms"
161,"hope"
161,"answers"
163,"cambridge"
163,"analytica"
163,"data"
163,"heard"
163,"chairman"
163,"thune"
163,"discussed"
163,"haul"
163,"cambridge"
163,"analytica"
163,"answer"
163,"questions"
163,"separate"
163,"hearing"
165,"chairman"
165,"thune"
165,"scheduling"
165,"hearing"
165,"deal"
165,"subject"
165,"hope"
165,"bottom"
165,"facebook"
165,"online"
165,"companies"
165,"fix"
165,"privacy"
165,"invasions"
165,"congress"
167,"american"
167,"consumers"
167,"trust"
167,"folks"
167,"company"
167,"caretakers"
167,"personal"
167,"identifiable"
167,"information"
167,"question"
171,"grassley"
171,"colleagues"
171,"senator"
171,"nelson"
173,"witness"
173,"mark"
173,"zuckerberg"
173,"founder"
173,"chairman"
173,"chief"
173,"executive"
173,"officer"
173,"facebook"
173,"zuckerberg"
173,"launched"
173,"facebook"
173,"february"
173,"4th"
173,"2004"
173,"age"
173,"19"
173,"time"
173,"student"
173,"harvard"
173,"university"
175,"mentioned"
175,"previously"
175,"company"
175,"40"
175,"billion"
175,"annual"
175,"revenue"
175,"2"
175,"billion"
175,"monthly"
175,"active"
175,"users"
175,"zuckerberg"
175,"wife"
175,"established"
175,"chan"
175,"zuckerberg"
175,"initiative"
175,"philanthropy"
177,"committee"
177,"statement"
177,"orally"
177,"included"
177,"record"
177,"proceed"
177,"sir"
179,"mark"
179,"zuckerberg"
179,"chairman"
179,"grassley"
179,"chairman"
179,"thune"
179,"ranking"
179,"feinstein"
179,"ranking"
179,"nelson"
179,"committee"
179,"issues"
179,"privacy"
179,"safety"
179,"democracy"
179,"rightfully"
179,"hard"
179,"questions"
179,"answer"
179,"talk"
179,"steps"
179,"taking"
179,"address"
179,"talk"
181,"facebook"
181,"idealistic"
181,"optimistic"
181,"company"
181,"existence"
181,"focused"
181,"connecting"
181,"people"
181,"facebook"
181,"grown"
181,"people"
181,"powerful"
181,"tool"
181,"staying"
181,"connected"
181,"people"
181,"love"
181,"voices"
181,"heard"
181,"building"
181,"communities"
181,"businesses"
183,"recently"
183,"movement"
183,"march"
183,"lives"
183,"organized"
183,"facebook"
183,"hurricane"
183,"harvey"
183,"people"
183,"raise"
183,"20"
183,"million"
183,"relief"
183,"70"
183,"million"
183,"businesses"
183,"business"
183,"facebook"
183,"create"
183,"jobs"
183,"grow"
185,"prevent"
185,"tools"
185,"harm"
185,"fake"
185,"news"
185,"foreign"
185,"interference"
185,"elections"
185,"hate"
185,"speech"
185,"developers"
185,"data"
185,"privacy"
187,"zuckerberg"
187,"broad"
187,"view"
187,"responsibility"
187,"mistake"
187,"mistake"
187,"started"
187,"facebook"
187,"run"
187,"responsible"
189,"relationship"
189,"people"
189,"taking"
189,"broad"
189,"view"
189,"responsibility"
191,"connect"
191,"people"
191,"connections"
191,"positive"
191,"people"
191,"voice"
191,"people"
191,"harm"
191,"people"
191,"spread"
191,"misinformation"
191,"people"
191,"control"
191,"information"
191,"developers"
191,"share"
191,"protect"
191,"information"
193,"board"
193,"responsibility"
193,"build"
193,"tools"
193,"time"
193,"company"
193,"committed"
193,"includes"
193,"basic"
193,"responsibility"
193,"protecting"
193,"people's"
193,"information"
193,"failed"
193,"cambridge"
193,"analytica"
195,"address"
195,"prevent"
195,"happening"
197,"bottom"
197,"cambridge"
197,"analytica"
197,"telling"
197,"affected"
197,"cambridge"
197,"analytica"
197,"improperly"
197,"accessed"
197,"information"
197,"millions"
197,"facebook"
197,"buying"
197,"app"
197,"developer"
199,"information"
199,"information"
199,"people"
199,"share"
199,"publicly"
199,"facebook"
199,"pages"
199,"names"
199,"profile"
199,"picture"
199,"pages"
199,"follow"
201,"contacted"
201,"cambridge"
201,"analytica"
201,"told"
201,"deleted"
201,"data"
201,"month"
201,"ago"
201,"heard"
201,"reports"
201,"suggested"
201,"true"
201,"governments"
201,"u.s"
201,"u.k"
201,"world"
201,"audit"
201,"rid"
201,"data"
203,"app"
203,"developers"
203,"misusing"
203,"data"
203,"investigating"
203,"single"
203,"app"
203,"access"
203,"amount"
203,"information"
203,"past"
203,"improperly"
203,"data"
203,"ban"
203,"facebook"
203,"affected"
205,"prevent"
205,"happening"
205,"forward"
205,"developers"
205,"access"
205,"information"
205,"news"
205,"platform"
205,"2014"
205,"prevented"
205,"specific"
205,"situation"
205,"cambridge"
205,"analytica"
205,"occurring"
207,"details"
207,"steps"
207,"taking"
207,"written"
207,"statement"
209,"top"
209,"priority"
209,"social"
209,"mission"
209,"connecting"
209,"people"
209,"building"
209,"community"
209,"bringing"
209,"world"
209,"closer"
209,"advertisers"
209,"developers"
209,"priority"
209,"running"
209,"facebook"
211,"started"
211,"facebook"
211,"college"
211,"serve"
211,"2"
211,"billion"
211,"people"
211,"world"
211,"day"
211,"people"
211,"services"
211,"stay"
211,"connected"
211,"people"
211,"matter"
213,"deeply"
213,"address"
213,"challenges"
213,"view"
213,"helping"
213,"people"
213,"connect"
213,"giving"
213,"people"
213,"voice"
213,"positive"
213,"force"
213,"world"
215,"realize"
215,"issues"
215,"talking"
215,"issues"
215,"facebook"
215,"community"
215,"issues"
215,"challenges"
215,"americans"
217,"ready"
217,"questions"
219,"grassley"
219,"remind"
219,"comments"
219,"operating"
219,"minute"
219,"rule"
219,"applies"
221,"laughter"
223,"minute"
223,"rule"
223,"applies"
223,"chairing"
223,"committee"
225,"grassley"
225,"start"
227,"facebook"
227,"handles"
227,"extensive"
227,"amounts"
227,"personal"
227,"data"
227,"billions"
227,"users"
227,"significant"
227,"amount"
227,"data"
227,"shared"
227,"party"
227,"developers"
227,"utilize"
227,"platform"
229,"actively"
229,"monitor"
229,"data"
229,"transferred"
229,"developers"
229,"parties"
229,"policies"
229,"prohibit"
229,"transfers"
229,"developers"
229,"parties"
229,"seeking"
229,"profit"
229,"data"
231,"professor"
231,"kogan's"
231,"transfer"
231,"potentially"
231,"cubeyou"
231,"instances"
231,"user"
231,"data"
231,"improperly"
231,"transferred"
231,"party"
231,"breach"
231,"facebook's"
231,"terms"
231,"times"
231,"happened"
231,"facebook"
231,"aware"
231,"transfer"
231,"party"
233,"zuckerberg"
233,"chairman"
235,"mentioned"
235,"conducting"
235,"investigation"
235,"single"
235,"app"
235,"access"
235,"amount"
235,"information"
235,"locked"
235,"platform"
235,"prevent"
235,"developers"
235,"accessing"
235,"information"
235,"2014"
237,"investigating"
237,"apps"
237,"tens"
237,"thousands"
237,"apps"
237,"suspicious"
237,"activity"
237,"conduct"
237,"audit"
237,"apps"
237,"understand"
237,"data"
237,"improper"
237,"improper"
237,"ban"
237,"facebook"
237,"affected"
239,"past"
239,"activity"
239,"examples"
239,"apps"
239,"banned"
239,"team"
239,"follow"
241,"grassley"
243,"required"
243,"audit"
243,"ensure"
243,"deletion"
243,"improperly"
243,"transferred"
243,"data"
243,"times"
245,"zuckerberg"
245,"chairman"
245,"exact"
245,"figure"
245,"times"
245,"enforced"
245,"platform"
245,"policies"
245,"past"
245,"looked"
245,"patterns"
245,"apps"
245,"apis"
245,"accessed"
245,"information"
245,"looked"
245,"reports"
245,"people"
245,"apps"
245,"sketchy"
247,"forward"
247,"proactive"
247,"position"
247,"regular"
247,"stock"
247,"checks"
247,"reviews"
247,"apps"
247,"increasing"
247,"amount"
247,"audits"
247,"team"
247,"specific"
247,"past"
247,"stats"
249,"grassley"
249,"assume"
249,"sitting"
249,"idea"
249,"wrong"
249,"telling"
249,"supply"
249,"figures"
251,"zuckerberg"
251,"chairman"
251,"team"
251,"follow"
251,"information"
253,"grassley"
253,"certainty"
255,"facebook"
255,"collects"
255,"massive"
255,"amounts"
255,"data"
255,"consumers"
255,"including"
255,"content"
255,"networks"
255,"contact"
255,"lists"
255,"device"
255,"information"
255,"location"
255,"information"
255,"parties"
255,"data"
255,"policy"
255,"pages"
255,"consumers"
255,"examples"
255,"collected"
257,"examples"
257,"emphasize"
257,"benign"
257,"connecting"
257,"friends"
257,"policy"
257,"indication"
257,"controversial"
257,"issues"
257,"data"
259,"question"
259,"facebook"
259,"disclose"
259,"users"
259,"data"
259,"facebook"
259,"parties"
259,"facebook's"
259,"responsibility"
259,"inform"
259,"users"
259,"information"
261,"zuckerberg"
261,"chairman"
261,"people"
261,"information"
261,"share"
261,"facebook"
261,"single"
261,"time"
261,"share"
261,"facebook"
261,"photo"
261,"facebook"
261,"message"
261,"messenger"
261,"app"
261,"single"
261,"time"
261,"control"
261,"sharing"
261,"friends"
261,"public"
261,"specific"
261,"change"
261,"control"
261,"line"
263,"broader"
263,"privacy"
263,"policy"
263,"issue"
263,"tech"
263,"industry"
263,"found"
263,"challenging"
263,"privacy"
263,"policies"
263,"confusing"
263,"spell"
263,"detail"
263,"reduce"
263,"percent"
263,"people"
263,"read"
263,"accessible"
265,"struggled"
265,"time"
265,"simple"
265,"people"
265,"understand"
265,"giving"
265,"controls"
265,"line"
265,"product"
265,"context"
265,"taking"
265,"account"
265,"expect"
265,"people"
265,"read"
265,"legal"
265,"document"
267,"grassley"
267,"senator"
267,"nelson"
269,"nelson"
269,"chairman"
271,"yesterday"
271,"talked"
271,"harmless"
271,"communicating"
271,"friends"
271,"facebook"
271,"love"
271,"chocolate"
271,"sudden"
271,"start"
271,"receiving"
271,"advertisements"
271,"chocolate"
271,"receive"
271,"commercial"
271,"advertisements"
273,"chief"
273,"operating"
273,"officer"
273,"ms"
273,"sandberg"
273,"suggested"
273,"nbc"
273,"facebook"
273,"users"
273,"personal"
273,"information"
273,"advertising"
273,"pay"
273,"protection"
273,"pay"
275,"facebook"
275,"users"
275,"pay"
275,"information"
277,"zuckerberg"
277,"senator"
277,"people"
277,"control"
277,"information"
277,"ads"
277,"product"
277,"experience"
277,"ads"
277,"targeted"
277,"information"
277,"party"
277,"information"
279,"found"
279,"people"
279,"ads"
279,"people"
279,"ads"
279,"relevant"
279,"discomfort"
279,"information"
279,"ads"
279,"relevant"
279,"overwhelming"
279,"feedback"
279,"community"
279,"people"
279,"relevant"
279,"content"
281,"offer"
281,"control"
281,"referencing"
281,"people"
281,"majority"
281,"people"
281,"facebook"
281,"level"
281,"control"
281,"offer"
283,"sheryl"
283,"run"
283,"ads"
283,"sort"
283,"business"
283,"model"
285,"nelson"
285,"business"
285,"model"
285,"harmless"
285,"chocolate"
285,"personal"
285,"communicating"
285,"friends"
285,"cut"
285,"pay"
285,"send"
285,"personal"
285,"information"
285,"essence"
285,"understood"
285,"ms"
285,"sandberg"
285,"correct"
287,"zuckerberg"
287,"senator"
289,"offer"
289,"option"
289,"people"
289,"pay"
289,"ads"
289,"offering"
289,"ad"
289,"supported"
289,"service"
289,"aligned"
289,"mission"
289,"connect"
289,"world"
289,"offer"
289,"free"
289,"service"
289,"afford"
291,"nelson"
293,"zuckerberg"
293,"reach"
293,"billions"
293,"people"
295,"nelson"
295,"personally"
295,"identifiable"
295,"data"
295,"company's"
295,"data"
295,"data"
297,"zuckerberg"
297,"senator"
297,"line"
297,"terms"
297,"service"
297,"control"
297,"information"
297,"content"
297,"facebook"
299,"nelson"
299,"recent"
299,"scandal"
299,"frustrating"
299,"affected"
299,"87"
299,"million"
299,"pattern"
299,"lax"
299,"data"
299,"practices"
299,"company"
301,"2011"
301,"settlement"
301,"ftc"
301,"discover"
301,"incidence"
301,"data"
301,"failed"
301,"protected"
301,"discovered"
301,"cambridge"
301,"analytica"
301,"fraudulently"
301,"obtained"
301,"information"
301,"inform"
301,"87"
301,"million"
303,"zuckerberg"
303,"learned"
303,"2015"
303,"cambridge"
303,"analytica"
303,"bought"
303,"data"
303,"app"
303,"developer"
303,"facebook"
303,"people"
303,"shared"
303,"action"
305,"app"
305,"demanded"
305,"app"
305,"developer"
305,"cambridge"
305,"analytica"
305,"delete"
305,"stop"
305,"data"
305,"told"
305,"retrospect"
305,"mistake"
307,"nelson"
309,"zuckerberg"
309,"audit"
309,"mistake"
311,"nelson"
